"","OFT","PedCount","IfSideWalk","IfBikeLane","PopDen","JobDen","IntNum","TraStpNum","AADT","PerCommercial","PerOffice","PerIndustrial","PerOpenspace","Entropy","IfDowntown","PerChild","PerOld","PerMale","PerWhite","PerBlack","PerHisp","PerPoverty","AvgHHSize","AvgVeh","IfMain","IfSecondary","StrtLitNum","IfEst"
"26","293802610271",0,1,0,0.709964859751397,0,30,0,5200,0,0,0,0.393288294091271,0.335423818234721,0,0.106083086053412,0.292284866468843,0.468100890207715,0.716617210682493,0.0155786350148368,0.0971810089020772,0.000188427299703264,1.81,1.33646112600536,0,1,4,1
"27","2831DEDS2832",0,0,0,2.45482142656046,11.4177740770254,15,0,2697,0,0.131398341500865,0.329042208737281,0.126392741953441,0.314801003280652,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"28","122119091909",0,0,0,0,0.813447048585513,11,1,15700,0.00710249504282597,0.246715523389177,0.373045152821084,0,0.27903075183765,0,0.0544105523495466,0.0140148392415499,0.588623248145095,0.856553998351195,0.0544105523495466,0.0206100577081616,0.00051277823577906,2.77,1.81506849315068,0,1,0,1
"29","172519091909",0,0,0,0,0.813447048585513,15,0,500,0.594597409309421,0.246576241526043,0.157521588386874,0,0.315157168523498,0,0.0544105523495466,0.0140148392415499,0.588623248145095,0.856553998351195,0.0544105523495466,0.0206100577081616,0.00051277823577906,2.77,1.81506849315068,0,1,0,1
"30","293822270261",0,1,0,0.709964859751397,0,27,0,5200,0.30892669527159,0,0,0.237101859418615,0.35430563435161,0,0.106083086053412,0.292284866468843,0.468100890207715,0.716617210682493,0.0155786350148368,0.0971810089020772,0.000188427299703264,1.81,1.33646112600536,0,1,4,1
"31","250117203120",0,0,0,0,0,6,0,2697,0,0.333249855758258,0.229712868791369,0,0.35535363540825,0,0,0,0.601831896551724,0.797952586206897,0.0172413793103448,0.0441810344827586,0.00052801724137931,3.38,0.747706422018349,0,0,0,1
"32","172025012306",0,0,0,0.0165624753745338,0.571405400421416,8,0,4704,0,0.597795899243664,0,0,0.337004747764614,0,0.0931989924433249,0.0972292191435768,0.550125944584383,0.793954659949622,0.0110831234256927,0.0206549118387909,0.000161209068010076,2.32,1.34992887624467,0,0,0,1
"33","028113201320",0,0,0,0.260386042786803,0.678470674867023,20,0,17183,0.191485949176958,0.467483228457971,0,0,0.346252987330449,0,0.143638850889193,0.127222982216142,0.500683994528044,0.875512995896033,0,0.0478796169630643,0.000369357045143639,2.09,1.50143266475645,0,1,0,1
"34","M55NEXITR35N",0,0,0,0,0,33,0,58000,0,0,0.224826947514636,0,0.266960529544895,0,0.221727515583259,0.0293855743544078,0.477292965271594,0.28673196794301,0.552092609082814,0.0694568121104185,0.000521816562778272,2.44,1.02836879432624,1,0,0,1
"35","037122162006",0,1,0,8.93846781727229,0,30,0,12200,0.0585514371631893,0,0,0,0.112094054302408,0,0.199058507061197,0.131809011432414,0.447209145931406,0.722259583053127,0.104236718224613,0.0672494956287828,0.000260255548083389,2.71,1.54207436399217,0,1,0,1
